Constituency,Constituency No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status,Lead_Party_Name,Trail_Party_Name,District
Thoothukkudi,214,SRINATH,Tamilaga Vettri Kazhagam,P. GEETHA JEEVAN,Dravida Munnetra Kazhagam,37731,26/26,Result Declared,TVK,DMK,Thoothukudi
Thousand lights,20,PRABHAKAR.J.C.D,Tamilaga Vettri Kazhagam,EZHILAN NAGANATHAN,Dravida Munnetra Kazhagam,15141,18/18,Result Declared,TVK,DMK,Chennai
Thuraiyur,146,RAVISANKAR.M,Tamilaga Vettri Kazhagam,E.SAROJA,All India Anna Dravida Munnetra Kazhagam,9614,23/23,Result Declared,TVK,AIADMK,Tiruchirappalli
Tindivanam,72,VANNI ARASU,Viduthalai Chiruthaigal Katchi,ARJUNAN. P,All India Anna Dravida Munnetra Kazhagam,734,23/23,Result Declared,VCK,AIADMK,Viluppuram
Tiruchendur,215,ANITHA R. RADHAKRISHNAN,Dravida Munnetra Kazhagam,J. MURUGAN,Tamilaga Vettri Kazhagam,5872,22/22,Result Declared,DMK,TVK,Thoothukudi
Tiruchengodu,96,ARUNRAJ K G,Tamilaga Vettri Kazhagam,SRMT SEKAR (A) CHANDRASEKAR R,All India Anna Dravida Munnetra Kazhagam,28172,22/22,Result Declared,TVK,AIADMK,Namakkal
Tiruchirappalli (east),141,C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,S. INIGO IRUDAYARAJ,Dravida Munnetra Kazhagam,27416,28/28,Result Declared,TVK,DMK,Tiruchirappalli
Tiruchirappalli (west),140,K.N.NEHRU,Dravida Munnetra Kazhagam,G.RAMAMOORTHI,Tamilaga Vettri Kazhagam,4786,24/24,Result Declared,DMK,TVK,Tiruchirappalli
Tiruchuli,208,THANGAM THENARASU,Dravida Munnetra Kazhagam,SAMAYAN.S,Tamilaga Vettri Kazhagam,13485,23/23,Result Declared,DMK,TVK,Virudhunagar
Tirukkoyilur,76,PALANISAMY S,All India Anna Dravida Munnetra Kazhagam,VIJAY R BARANIBALAAJI,Tamilaga Vettri Kazhagam,285,24/24,Result Declared,AIADMK,TVK,Kallakurichi
Tirunelveli,224,MURUGHAN.R.S.,Tamilaga Vettri Kazhagam,SUBRAMANIAN.S,Dravida Munnetra Kazhagam,11414,28/28,Result Declared,TVK,DMK,Tirunelveli
Tiruppattur,50,DR.THIRUPATHI. N,Tamilaga Vettri Kazhagam,NALLATHAMBI. A,Dravida Munnetra Kazhagam,48263,23/23,Result Declared,TVK,DMK,Tirupattur
Tiruppattur,185,SEENIVASA SETHUPATHY. R,Tamilaga Vettri Kazhagam,PERIAKARUPPAN. KR,Dravida Munnetra Kazhagam,1,30/30,Result Declared,TVK,DMK,Tirupattur
Tiruppur (north),113,V.SATHYABAMA,Tamilaga Vettri Kazhagam,M.S.M.ANANDAN,All India Anna Dravida Munnetra Kazhagam,69992,34/34,Result Declared,TVK,AIADMK,Tiruppur
Tiruppur (south),114,BALAMURUGAN. S,Tamilaga Vettri Kazhagam,DINESHKUMAR. N,Dravida Munnetra Kazhagam,12901,21/21,Result Declared,TVK,DMK,Tiruppur
Tiruttani,3,G.HARI,All India Anna Dravida Munnetra Kazhagam,M.SATHYA KUMAR,Tamilaga Vettri Kazhagam,5793,27/27,Result Declared,AIADMK,TVK,Thiruvallur
Tiruvadanai,210,RAJEEV,Tamilaga Vettri Kazhagam,RM. KARUMANICKAM,Indian National Congress,2513,28/28,Result Declared,TVK,INC,Ramanathapuram
Tiruvannamalai,63,VELU. E.V,Dravida Munnetra Kazhagam,ARUL ARUMUGAM,Tamilaga Vettri Kazhagam,2455,23/23,Result Declared,DMK,TVK,Tiruvannamalai
Tittakudi,151,GANESAN C.V,Dravida Munnetra Kazhagam,RAJASEKAR A,Tamilaga Vettri Kazhagam,2629,21/21,Result Declared,DMK,TVK,Perambalur
